"","game_id","home_team.x","away_team.x","score_differential.x","home_team.y","away_team.y","score_differential.y","home_team.x.x","away_team.x.x","score_differential.x.x","home_team.y.y","away_team.y.y","score_differential.y.y","home_team_win"
"1","2020_01_ARI_SF","SF","ARI",3,"SF","ARI",3,"SF","ARI",3,"SF","ARI",-4,0
"2","2020_01_CHI_DET","DET","CHI",0,"DET","CHI",7,"DET","CHI",17,"DET","CHI",-4,0
"3","2020_01_CLE_BAL","BAL","CLE",4,"BAL","CLE",18,"BAL","CLE",25,"BAL","CLE",32,1
"4","2020_01_DAL_LA","LA","DAL",7,"LA","DAL",-1,"LA","DAL",3,"LA","DAL",3,1
"5","2020_01_GB_MIN","MIN","GB",4,"MIN","GB",-12,"MIN","GB",-19,"MIN","GB",-9,0
"6","2020_01_HOU_KC","KC","HOU",-7,"KC","HOU",10,"KC","HOU",17,"KC","HOU",14,1
"7","2020_01_IND_JAX","JAX","IND",-7,"JAX","IND",-3,"JAX","IND",0,"JAX","IND",7,1
"8","2020_01_LAC_CIN","CIN","LAC",7,"CIN","LAC",1,"CIN","LAC",7,"CIN","LAC",-3,0
"9","2020_01_LV_CAR","CAR","LV",2,"CAR","LV",-2,"CAR","LV",-12,"CAR","LV",-4,0
"10","2020_01_MIA_NE","NE","MIA",0,"NE","MIA",4,"NE","MIA",11,"NE","MIA",10,1
"11","2020_01_NYJ_BUF","BUF","NYJ",14,"BUF","NYJ",18,"BUF","NYJ",11,"BUF","NYJ",10,1
"12","2020_01_PHI_WAS","WAS","PHI",-10,"WAS","PHI",-10,"WAS","PHI",-3,"WAS","PHI",10,1
"13","2020_01_PIT_NYG","NYG","PIT",0,"NYG","PIT",-6,"NYG","PIT",-6,"NYG","PIT",-10,0
"14","2020_01_SEA_ATL","ATL","SEA",-11,"ATL","SEA",-2,"ATL","SEA",-16,"ATL","SEA",-13,0
"15","2020_01_TB_NO","NO","TB",-7,"NO","TB",10,"NO","TB",7,"NO","TB",11,1
"16","2020_01_TEN_DEN","DEN","TEN",7,"DEN","TEN",0,"DEN","TEN",0,"DEN","TEN",-2,0
